Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.00043155,0.039218,0.025123,0,0,0,25.086,2.2278,0.0021782,0.0009097,0.27493,-0.13204,2.1908,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/body.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/body.STL,,PRObody-1,Body,RHip <PRObody-1>,RB_Joint,revolute,-0.5625,0.63798,-0.134,1.5708,0,0,body,1,0,0,0,0,0,0,,,,,,,,
LF,4.14485893307365E-05,-0.00113627716579498,-0.0268906627091174,0,0,0,2.50549192294322,0.00412481611325406,-8.61923036175591E-07,3.73143726705958E-06,0.00494762206279559,0.000113743229299035,0.00567911706773225,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LF.STL,,LF-1,LF,LHip <PRObody-1>,LF_Joint,revolute,-0.135,0.33,0,-1.5707963267949,0,1.5707963267949,body,1,0,0,0,0,0,0,,,,,,,,
LF_1,-0.0077577,0.07269,0.019016,0,0,0,4.5006,0.058988,0.0032662,-0.00079631,0.010824,0.0057941,0.061893,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LF_1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LF_1.STL,,LF_1-1,LF_1,Hip <LF-1>,LF_Joint_1,revolute,0,0,0.0419999999999999,0,0,0,LF,0,0,-1,0,0,0,0,,,,,,,,
LF_2,0.0014413,0.14344,1.6577E-05,0,0,0,0.50672,0.012216,-0.00022753,2.7026E-08,0.00021985,-1.6284E-06,0.012354,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LF_2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LF_2.STL,,Shank-1,LF_2,Knee <LF_1-1>,LF_Joint_2,revolute,0,0.33,0,0,0,0,LF_1,0,0,1,0,0,0,0,,,,,,,,
LB,4.14485800360742E-05,-0.00113627716607437,-0.0268906627007571,0,0,0,2.50549192134742,0.00412481611295601,-8.61923030740982E-07,3.73143695454939E-06,0.00494762206190561,0.000113743229290125,0.00567911706709784,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LB.STL,,LB-1,LB,LHip <PRObody-1>,LB_Joint,revolute,-0.135,-0.33,0,-1.5707963267949,0,1.5707963267949,body,1,0,0,0,0,0,0,,,,,,,,
LB_1,-0.00775771796402047,0.0726900313706462,0.0190159993999425,0,0,0,4.50059878456915,0.0589879584366234,0.00326615871700767,-0.000796308739824401,0.010823989200702,0.00579405626212472,0.0618928093310483,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LB_1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LB_1.STL,,LB_1-1,LB_1,Hip <LB-1>,LB_Joint_1,revolute,0,0,0.0419999999999999,0,0,0,LB,0,0,-1,0,0,0,0,,,,,,,,
LB_2,0.0014413,0.14344,1.6577E-05,0,0,0,0.50672,0.012216,-0.00022753,2.7026E-08,0.00021985,-1.6284E-06,0.012354,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LB_2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/LB_2.STL,,Shank-2,LB_2,Knee <LB_1-1>,LB_Joint_2,revolute,0,0.33,0,0,0,0,LB_1,0,0,1,0,0,0,0,,,,,,,,
RF,-4.14485947367454E-05,-0.00113627717429798,0.02689066268977,0,0,0,2.50549191925909,0.00412481611134714,8.61923183582635E-07,3.73143744918099E-06,0.00494762206188555,-0.000113743229014181,0.00567911706619976,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RF.STL,,RF-1,RF,RHip <PRObody-1>,RF_Joint,revolute,0.135,0.33,0,-1.5707963267949,0,1.5707963267949,body,1,0,0,0,0,0,0,,,,,,,,
RF-1,-0.0077577,0.07269,-0.019016,0,0,0,4.5006,0.058988,0.0032662,0.0007963,0.010824,-0.005794,0.061893,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RF-1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RF-1.STL,,RF_1-1,RF_1,Hip <RF-1>,RF_Joint_1,revolute,0,0,-0.042,0,0,0,RF,0,0,1,0,0,0,0,,,,,,,,
RF_2,0.0014413,0.14344,1.6577E-05,0,0,0,0.50672,0.012216,-0.00022753,2.7026E-08,0.00021985,-1.6284E-06,0.012354,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RF_2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RF_2.STL,,Shank-3,RF_2,Knee <RF_1-1>,RF_Joint_2,revolute,0,0.33,0,0,0,0,RF-1,0,0,-1,0,0,0,0,,,,,,,,
RB,-4.14485765461992E-05,-0.00113627716531262,0.0268906626955816,0,0,0,2.50549192036455,0.00412481611229508,8.61922976232822E-07,3.73143683697258E-06,0.00494762206182641,-0.000113743229315575,0.00567911706670221,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RB.STL,,RB-1,RB,RHip <PRObody-1>,RB_Joint,revolute,0.135,-0.33,0,-1.5707963267949,0,1.5707963267949,body,1,0,0,0,0,0,0,,,,,,,,
RB_1,-0.0077577,0.07269,-0.019016,0,0,0,4.5006,0.058988,0.0032662,0.0007963,0.010824,-0.005794,0.061893,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RB_1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RB_1.STL,,RB_1-1,RB_1,Hip <RB-1>,RB_Joint_1,revolute,0,0,-0.0419999999999999,0,0,0,RB,0,0,1,0,0,0,0,,,,,,,,
RB_2,0.00144130821614064,0.143436695663533,1.65770431969081E-05,0,0,0,0.506717439816204,0.0122163341692312,-0.000227526374818526,2.70255941452921E-08,0.000219848406703217,-1.62843314387346E-06,0.0123538734657825,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RB_2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JYPro.SLDASM/meshes/RB_2.STL,,Shank-4,RB_2,Knee <RB_1-1>,RB_Joint_2,revolute,0,0.33,0,0,0,0,RB_1,0,0,-1,0,0,0,0,,,,,,,,
